Price,Close,High,Low,Open,Volume
Ticker,IOC.NS,IOC.NS,IOC.NS,IOC.NS,IOC.NS
Date,,,,,
2015-01-01,30.368471145629883,30.585097428020696,29.853980367830008,30.03450261414253,2369712
2015-01-02,30.20148277282715,30.639251381468554,30.124760673633585,30.503859198665708,2576334
2015-01-05,30.52643585205078,30.860404476701625,30.1383132240968,30.26919142435077,3609636
2015-01-06,30.187942504882812,30.747565313459788,29.939724193553875,30.64376312573686,6695466
2015-01-07,30.242103576660156,30.472269895062507,29.750178876764657,30.156355461917375,5033676
2015-01-08,31.004817962646484,31.180828259461485,30.075124455704838,30.32334283372315,6903468
2015-01-09,30.84234046936035,31.32072509272683,30.476781979332593,31.20338492241257,5975934
2015-01-12,30.643766403198242,30.959680839216052,30.51288824422204,30.788184608171036,3371664
2015-01-13,30.70244026184082,31.122156948210197,30.59864011619379,30.7791623780914,3154920
2015-01-14,30.300771713256836,30.819774405538272,30.24210162812024,30.558016040910573,6252006
2015-01-15,30.332361221313477,30.68438172648029,29.903620682108635,30.350413237077806,5139942
2015-01-16,30.372982025146484,30.625714400449876,29.93972741002109,30.237589828799738,3205026
2015-01-19,30.400062561035156,30.58509885344161,30.10671415534592,30.24210636287053,2680494
2015-01-20,30.395545959472656,30.66633033327642,30.27369381762929,30.652790288217904,6894174
2015-01-21,29.790800094604492,30.32785699742526,29.632843883357104,30.28272488056489,7234560
2015-01-22,29.935222625732422,30.18344102332215,29.673462112967364,29.790802320096024,4218228
2015-01-23,29.87654685974121,30.097689264045247,29.483910269701703,30.048045177319107,6999720
2015-01-27,29.88558006286621,30.372990872134018,29.677977670568048,29.87655198562051,4426986
2015-01-28,30.521921157836914,30.62120727589638,29.750185877624983,29.96681220113071,4967310
2015-01-29,31.44258689880371,31.537361038986138,30.44970924815753,30.467761268580723,9173550
2015-01-30,31.347803115844727,32.04281606375761,31.00029664188828,31.59150946449594,7563918
2015-02-02,30.684391021728516,31.320734066832664,30.345910458809136,31.320734066832664,4004154
2015-02-03,29.85398292541504,30.770136347875237,29.7862868190082,30.661822164440057,4498716
2015-02-04,30.255640029907227,30.61217458268196,29.668941236265216,29.840437457097046,3698868
2015-02-05,30.206003189086914,31.361348957851835,29.912652709085886,30.323341315166132,6130278
2015-02-06,29.565147399902344,30.323342575691807,29.34400705421703,30.057072179638453,3406980
2015-02-09,28.84305191040039,29.420726838891422,28.703147732397266,29.330464679394453,2651808
2015-02-10,28.066804885864258,29.10029845576005,27.710270284120668,28.779869957509195,4442352
2015-02-11,28.707660675048828,28.86561894303061,28.075831734964062,28.148039812266923,3489960
2015-02-12,28.468469619750977,29.08676060652842,28.29697336240631,28.870134298809177,3180714
2015-02-13,28.003620147705078,28.951365574881958,27.687705693953145,28.48200689885277,18408060
2015-02-16,28.698631286621094,29.109321908653573,27.976540269000232,27.981052240339864,9525126
2015-02-18,29.980350494384766,30.13830877183793,28.256355688430588,28.78889855415589,8377482
2015-02-19,30.977737426757812,31.25303381296176,29.96680784430377,30.079633995019353,8171526
2015-02-20,30.06157875061035,30.98676011133926,29.980344674543048,30.873931906808863,3424692
2015-02-23,30.499353408813477,30.548997498054348,29.88106241122306,30.23759498022062,4955406
2015-02-24,29.6779727935791,30.715980452650708,29.610276686811847,30.688900357206826,3983460
2015-02-25,29.533557891845703,30.011942664980275,29.46134980499737,29.79531633851382,2422044
2015-02-26,29.574174880981445,29.736645136308862,29.24923230440523,29.736645136308862,5910174
2015-02-27,30.11573028564453,30.219530393117257,29.389125401494546,29.619291665598592,3876978
2015-03-02,31.65469741821289,32.11954411874648,30.418113509216763,30.580585805264285,14421294
2015-03-03,32.169189453125,32.412893774833215,31.10861577964786,31.528332450894034,6942954
2015-03-04,30.78818130493164,32.38580946283584,30.50837093369742,32.313599335136324,4021098
2015-03-05,31.47417640686035,31.57346458354858,30.607667044639282,30.779163301885298,5449146
2015-03-09,31.58700180053711,31.726905977039138,30.99578889731368,31.546383725903233,4896720
2015-03-10,31.234983444213867,31.48320181526958,30.725006654295974,31.410993736091733,3703890
2015-03-11,30.78367805480957,31.56443930654025,30.512893614586552,31.198880725423443,4312578
