Price,Close,High,Low,Open,Volume
Ticker,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS,UNIONBANK.NS
Date,,,,,
2015-01-01,203.42115783691406,205.74090985105528,200.84835226387938,201.9449520097333,1576572
2015-01-02,202.7041473388672,206.45792522317169,201.64971462577643,204.72865299940423,2628007
2015-01-05,200.46871948242188,204.09597017754234,199.37211988262243,203.1258973403377,2628212
2015-01-06,189.84007263183594,198.90819417424217,188.9543465580464,198.90819417424217,3287825
2015-01-07,185.15838623046875,190.21966330282783,183.47129387301575,189.038703801208,4234400
2015-01-08,193.42510986328125,194.56388929625282,187.01415480017863,188.23729398588486,3828465
2015-01-09,194.35302734375,195.6183465657054,191.2319091705586,193.46731418557542,3521466
2015-01-12,199.03469848632812,200.30001762848087,191.48496351244847,193.76253539402504,3086735
2015-01-13,196.29318237304688,202.02929864584968,195.32310946969096,200.97486598068343,2094435
2015-01-14,190.0931396484375,197.30544929787527,189.2074135719208,196.75714942129005,3091672
2015-01-15,201.86058044433594,203.2946062126162,195.365278172837,198.3598564733813,5358728
2015-01-16,199.414306640625,203.71639719584243,198.95036655083086,202.45107795860116,2627583
2015-01-19,200.59527587890625,203.2102612058184,199.24559689815032,200.25784969797093,2096119
2015-01-20,202.8728485107422,205.69873325397955,200.76398314160764,200.76398314160764,3271470
2015-01-21,208.65113830566406,209.62121119681095,202.91502210505448,203.54768169619175,4245366
2015-01-22,208.1028289794922,211.09742033375,206.66880312395105,209.7899212498918,3033489
2015-01-23,212.0675048828125,213.83895701257907,202.70414999095647,210.88654537729693,4279249
2015-01-27,200.8905029296875,213.83894099452067,195.87140609997255,212.1518487578775,9325874
2015-01-28,191.10537719726562,199.49865856690235,190.43053772295224,199.07688550439303,7240728
2015-01-29,182.1637725830078,190.64141322320532,181.06716010963797,189.79786714699645,6874912
2015-01-30,176.42767333984375,185.1162013190237,173.7283282155384,182.88080915471448,7105107
2015-02-02,176.6807403564453,180.09710487330543,173.77050868337668,174.7827614994667,4872273
2015-02-03,172.9269561767578,180.68757797722114,171.66163698522055,177.77734641098394,5431579
2015-02-04,169.13101196289062,174.44535556145968,168.0343993359647,173.7705160316981,5759202
2015-02-05,163.09963989257812,170.77590150596563,161.792140892869,169.38405562106055,4977043
2015-02-06,160.4424591064453,165.79898177172288,159.47238627957998,162.17173111526267,4863939
2015-02-09,149.77162170410156,160.2737687111381,148.5484823592888,159.43022256002686,6584076
2015-02-10,152.17572021484375,155.38119815710834,145.08993770793694,148.21105588665796,5890962
2015-02-11,151.5852508544922,154.79072901604414,149.51856522121975,153.14581648635766,6116861
2015-02-12,150.48863220214844,153.94717666205767,148.8858996211133,153.06145060559376,4025448
2015-02-13,153.14581298828125,156.14040452963934,149.81380812035886,151.29001394919098,7227902
2015-02-16,151.24781799316406,155.3390088468528,150.0246787249786,154.74852915236588,4316287
2015-02-18,150.404296875,152.68186914429003,149.85598409716548,151.8383229059238,2523664
2015-02-19,148.6328125,151.58522369614101,146.0178274491699,151.24781042232144,3652190
2015-02-20,151.71177673339844,154.62200830960072,147.3253265571888,149.7294381779386,4927121
2015-02-23,150.06686401367188,152.6818623854454,148.92808436518484,152.6818623854454,2774892
2015-02-24,150.27774047851562,151.79612611275692,147.19880220000655,150.19339358696996,4261543
2015-02-25,147.40969848632812,152.42879580326635,147.07228515484238,150.99476983721163,2628828
2015-02-26,140.5769805908203,147.74712387785934,139.60690752999523,147.28318372707014,5886913
2015-02-27,147.9158172607422,148.63282373970208,141.37833483206168,141.96881454164404,4867104
2015-03-02,144.2463836669922,147.45186143389043,142.72799810672544,146.60831533057467,4165907
2015-03-03,146.65049743652344,147.578390441363,142.17970044677483,144.66815891503825,4175711
2015-03-04,143.4450225830078,154.36894243807,142.30623015412996,152.3866038756508,5947712
2015-03-05,144.6259765625,145.30081601815996,141.37833179384273,144.07767674499055,2967285
2015-03-09,143.06544494628906,144.9212440674792,140.70351294136802,143.4028582877804,3382807
2015-03-10,144.2042236328125,145.38519606287437,142.17971785484048,143.40285729867747,2645679
2015-03-11,143.3184814453125,145.9334795806141,141.84227572701147,144.37291410124178,2897295
2015-03-12,144.2042236328125,145.46954296191848,143.4872170692154,144.58381685724552,1598980
2015-03-13,142.68582153320312,145.59606595426465,142.13752170194095,145.25863978222517,2009513
2015-03-16,143.36065673828125,144.0354961907795,140.0708321056538,142.98106356859225,1951466
2015-03-17,144.07766723632812,145.38516618197383,142.34839526766712,144.24637387123602,2433460
2015-03-18,143.10760498046875,146.31308305426904,142.72801177193168,144.33075724457848,2479341
2015-03-19,142.77017211914062,144.79467753530582,141.71573953332717,144.66815077360482,2352731
2015-03-20,141.16746520996094,142.51713144044484,137.5823937712947,141.88447177479787,2744764
2015-03-23,139.8599395751953,141.7157383362527,138.34155409015145,141.67355845887815,1771355
2015-03-24,138.2993927001953,141.8844639409187,135.3048012071748,139.5225320786141,3253167
2015-03-25,140.07083129882812,141.04090415705588,136.52794028298482,138.34155923410344,2724295
2015-03-26,136.65447998046875,141.3783436962921,135.85311369068438,138.72116552933156,3899993
2015-03-27,135.05172729492188,138.9320313888485,129.99045101211144,137.24493929457836,4473270
2015-03-30,134.50343322753906,137.24495825956146,133.11158720603257,136.0218188964962,3191228
2015-03-31,132.01498413085938,136.14835548220566,131.34014457697793,135.51569581384692,3514147
2015-04-01,136.6966552734375,137.16060822715306,130.28569942744176,131.59319852555186,3296223
2015-04-06,134.58778381347656,137.3714885381309,133.44899142155228,137.03406237276826,2631318
2015-04-07,133.11158752441406,136.35923253952805,132.60545467638676,135.13609317353726,2972760
2015-04-08,132.5211181640625,135.0095769735678,132.2680517202243,133.8707844120429,2424825
2015-04-09,135.47352600097656,136.44359899048766,132.5211142762983,133.70207381757214,4888449
2015-04-10,136.02183532714844,137.7089278583379,134.71433604117772,136.06401521472708,3833612
2015-04-13,138.2572021484375,140.02865412634353,136.48576304202362,136.48576304202362,2444271
2015-04-15,139.7755889892578,143.4028398660505,138.4680899338277,139.10074952147207,4497004
2015-04-16,138.341552734375,140.70348425779673,137.07623365448742,140.3660581135986,1856739
2015-04-17,138.84771728515625,140.23956344290923,136.8231985712042,138.84771728515625,2333413
2015-04-20,133.70205688476562,141.5470381911039,132.6054443801821,138.76333348608168,2957984
2015-04-21,133.49118041992188,135.05174597153237,131.63538143388033,133.70206696086962,3009484
2015-04-22,131.67755126953125,135.34696907915406,128.97819345416346,134.2503565755974,2928537
2015-04-23,129.06256103515625,132.68981205684807,128.5564281962252,132.09933232575705,2264791
2015-04-24,124.71831512451172,129.69523272774296,124.17000235268505,129.18909984167126,2359418
2015-04-27,120.58493041992188,125.30879443363057,119.95227075048734,124.8448414350798,3784344
2015-04-28,120.62711334228516,121.97679248632102,118.94002084798747,120.58493345562887,4820724
2015-04-29,119.99445343017578,122.06113915748628,119.61486019397495,120.58493322776532,2068095
2015-04-30,121.30194091796875,122.22983397517058,119.15089562617113,119.78355524896496,3174957
2015-05-04,124.04347229003906,124.4230655088181,121.30194711781087,121.89242688829975,1844251
2015-05-05,121.97679138183594,125.09790989372648,121.4706584895319,123.87477042073488,1921362
2015-05-06,115.18621826171875,122.9890193976297,114.76444522734519,121.55499365505788,2830751
2015-05-07,111.09502410888672,114.7644549679762,109.91406466100344,114.72227508666053,2398405
2015-05-08,113.03518676757812,114.63791934180477,109.4501155454721,112.61341368262448,3953991
2015-05-11,118.39170837402344,119.27742154235601,111.64333911286626,113.87873128202742,3860745
2015-05-12,121.1754150390625,124.50743306157136,113.24608534767415,118.51824947000534,15797537
2015-05-13,130.41224670410156,134.46125813696128,122.5250846438356,122.5250846438356,15448490
2015-05-14,137.20277404785156,138.29938660035717,127.20676004632094,129.82174534838077,9052409
2015-05-15,139.1007537841797,140.78784606959843,137.03406830884023,138.08850098722695,5666289
2015-05-18,135.81092834472656,139.52252620679286,132.9428766214474,139.18511289987504,3710637
2015-05-19,136.6966552734375,138.2993877991901,134.96738310313012,135.72656948448815,2169999
2015-05-20,137.5402069091797,138.84770605949222,135.136095153073,137.07625393694065,2238685
2015-05-21,138.341552734375,138.84768551492655,135.85309445156102,137.41364692719426,2500350
2015-05-22,137.66671752929688,141.46267488509454,136.907531206734,138.46808373011137,3800084
2015-05-25,137.7089080810547,139.3960003699497,136.3592291013416,137.49802154494282,1404326
2015-05-26,137.4136505126953,138.5102629848431,136.14833139979208,137.28712375000165,1386142
2015-05-27,142.43276977539062,144.4994552279541,136.317060308146,136.4857669605301,4985627
2015-05-28,144.6681671142578,146.01784612514547,141.0830959175488,143.4028478683605,4381048
2015-05-29,146.27088928222656,146.98790861920978,143.48719743627305,144.66815683325382,2623053
2015-06-01,147.74710083007812,148.54847995787304,146.18654819864565,146.35525485184206,2052741
2015-06-02,135.85308837890625,148.46409873710667,132.9850242031359,148.46409873710667,9054814
2015-06-03,137.0340576171875,137.87760369408184,131.67754775180342,136.1483316621501,4126106
2015-06-04,131.0027313232422,137.8354480231819,127.4598397523667,137.8354480231819,5177750
2015-06-05,130.45440673828125,132.60545199160688,128.4720810118774,129.8217471268027,3337938
2015-06-08,124.71831512451172,132.3523982008845,124.08565545266907,130.66530574263743,3011914
2015-06-09,124.67613983154297,126.91153227246953,123.8325935713451,124.4652532664935,2995919
2015-06-10,125.98362731933594,127.75506657707976,124.92919459276463,125.05572137135589,1788291
2015-06-11,119.65702056884766,127.3754623084799,119.1508877554489,127.20675566117768,4005183
2015-06-12,122.10330963134766,122.90467592855008,118.64476514258783,119.23525776615163,4073930
